country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sierra Leone,37,37,37,37,25,25,25,25,25,25,25,26,26,26,26,26,27,29,29,29,29,35,39,39,39,39,39,38,37,37,37,37,32,32,32,35,35,34,33,33,33,33,33,38
Singapore,83,91,91,91,91,91,91,91,91,93,93,93,93,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Slovak Republic,,,,,,,,,,,,,,,,,,,55,53,53,52,52,54,58,58,57,57,57,57,57,57,57,57,57,58,58,57,60,60,60,60,60,57
Slovenia,,,,,,,,,,,,,,,,,64,64,64,63,63,68,68,68,69,69,68,68,68,66,66,66,62,63,64,64,64,65,66,69,68,68,67,69
Somalia,46,46,44,43,43,43,43,43,43,43,44,44,44,44,44,44,35,9,9,9,9,9,9,9,9,9,11,15,15,15,16,16,17,17,17,16,17,14,19,19,19,19,23,20
South Africa,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,50,50,50,50,49,49,49,49,49,49,49,49,49,49,49,49,47,47,46,49,48,48,48,47,43
South Korea,47,47,47,47,47,47,47,47,47,46,46,46,48,49,49,49,49,50,63,63,63,63,63,63,63,66,65,66,67,68,68,68,68,68,68,68,68,64,60,60,56,56,69,74
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,17,17,17,17,20,18
Spain,58,59,75,75,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,84,85,85,85,85,85,84,84,84,84,85,85,85,85,85,82,80,77,77,76,79,79,79,84
Sri Lanka,66,66,65,65,65,57,57,57,57,57,57,57,57,57,53,53,53,53,53,49,49,49,50,50,50,50,52,52,52,52,46,46,46,46,46,45,45,45,44,44,48,49,49,48
Sudan,49,49,49,49,49,49,49,49,49,48,52,53,53,53,43,25,25,25,25,25,25,24,24,24,24,22,22,22,22,22,28,28,28,28,28,30,24,24,25,25,25,24,29,29
Swaziland,33,33,33,33,33,33,33,33,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,35,31
Sweden,97,97,97,97,97,97,97,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,97,97,97,97,97,97,97,97,97,97,97,97,97,89,89,86,89
Switzerland,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,82,82,82,82,82,81,81,81,81,81,81,81,81,81,81,81,81,82,82,89,89,85,85
Syria,36,36,36,36,36,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,25,25,25,25,25,25,25,25,25,25,25,28,22,15,15,15,20,19,22
Tajikistan,,,,,,,,,,,,,,,,,32,21,26,26,25,25,25,20,19,17,17,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,17
Tanzania,75,75,75,75,75,73,73,73,73,72,67,58,58,58,58,52,52,52,52,52,50,49,49,49,49,49,49,49,49,49,45,45,45,45,45,45,45,45,46,46,50,56,58,62
Thailand,23,23,23,23,23,25,25,25,25,26,26,26,26,32,32,32,32,32,32,32,32,32,33,33,33,40,39,39,39,39,39,38,38,38,38,38,38,39,38,35,35,35,35,33
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,45,49
Togo,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,24,24,19,23,23,23,23,23,23,23,23,21,21,21,27,32,32,32,32,32,32,32,30,30,32,32,33,32
Trinidad and Tobago,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,61,61,61,63,63,63,70,70,70
Tunisia,44,44,44,44,44,44,44,44,44,44,44,44,40,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,29,60,52,59,59,59,58,56,56
Turkey,53,53,53,53,53,53,53,53,52,52,52,52,52,52,51,51,51,52,52,52,52,51,51,51,52,52,52,55,55,55,55,55,53,52,52,48,48,47,46,41,41,37,34,36
Turkmenistan,,,,,,,,,,,,,,,,,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,4,4,4,4,11,11,11,11,19,19
Uganda,14,14,14,14,14,35,35,35,35,35,35,47,49,52,52,53,53,53,52,49,48,44,42,42,42,38,38,38,38,39,37,37,37,37,37,38,38,38,38,38,38,36,39,41
Ukraine,,,,,,,,,,,,,,,,,40,33,31,24,20,17,17,18,20,25,24,23,22,33,33,31,32,33,30,27,28,27,27,37,38,39,40,42
United Arab Emirates,55,55,55,53,54,55,55,55,55,55,55,55,55,55,55,55,55,56,58,58,58,58,58,58,58,58,58,58,58,58,61,61,68,68,68,69,69,69,69,69,69,69,69,69
